,ID,TRADER,COMMAND,TICKER,POSITIONS,NET_PRICE,OPENING,DATE,AVG_PRICE,CLOSED,PROFIT
172,9d19b1b92a9d11eba8793800255995ba,Doktar Evil,standard,BABA,1,-3.1,True,11/27,0.3,True,0.1
173,00fc4e532a9e11ebb8133800255995ba,edwin_2701 🔥,standard,ZM,1,-6.0,True,11/27,5.95,True,13.33
174,3b4343522aa111eb8f243800255995ba,Doktar Evil,standard,BABA,1,-3.05,True,11/27,3.0,True,34.43
175,53145d382aa411eba75a3800255995ba,TacoTradez🌮,standard,NET,1,-2.1,True,11/27,,True,40.48
176,d357cb362aa611eb85cf3800255995ba,Visvim,standard,SHOP,1,0.1,True,11/27,11.65,True,0.1
177,b9072f312aa711eb86be3800255995ba,Visvim,standard,SHOP,1,-12.4,True,11/27,11.65,True,38.71
178,e2579b6c2aa711eb956c3800255995ba,emraht,standard,NIO,1,-4.35,True,12/04,4.5,True,-20.0
179,7bd870292aa811ebabc13800255995ba,therealyoungari,standard,QQQ,1,-0.34,True,11/20,0.35,True,-88.24
180,e38276ec2aa911ebbf163800255995ba,therealyoungari,standard,AMD,1,0.1,True,11/27,1.73,True,0.1
181,cd72226d2b3f11ebb3443800255995ba,manprit123,standard,SPCE,1,-1.05,True,11/27,,True,-32.38
182,da5ad64b2b3f11eba7733800255995ba,SammySnipes,standard,AMZN,1,-8.55,True,03/19/21,,False,
183,08be86512b4011ebbe1f3800255995ba,TacoTradez🌮,standard,NVCR,1,-96.5,True,12/18,,True,0.1
184,18167f7b2b4011eb84193800255995ba,TacoTradez🌮,standard,NVCR,1,-5.4,True,12/18,,True,-51.85
185,227b40042b4011eb9fb83800255995ba,zoom,standard,MSFT,1,0.1,True,12/4,,True,0.0
186,924594242b4311eb81303800255995ba,zoom,standard,BYND,1,-6.35,True,12/4,,True,-42.99
187,efd46efb2b4311ebad413800255995ba,zoom,standard,MSFT,1,-5.35,True,12/4,,True,-18.5
188,b63c99e42b4411eb93c93800255995ba,Visvim,standard,SPY,1,-1.69,True,11/27,1.68,True,2.37
189,1170fa142b4b11eba5fd3800255995ba,TacoTradez🌮,standard,ZM,1,-9.2,True,11/27,,True,-61.96
190,3fe5384d2b4e11eb9c323800255995ba,therealyoungari,standard,AMD,1,-1.24,True,11/27,1.25,True,16.94
191,58cdc6a52b4e11eba32c3800255995ba,raj_alert,standard,SQ,1,-3.65,True,1/15/21,,True,30.14
192,5e9cbe0d2b4f11ebba203800255995ba,Dick Branson,standard,SPCE,1,-1.03,True,12/18,,True,21.36
193,a7c49a502b4f11eb828d3800255995ba,TacoTradez🌮,standard,SPCE,1,-0.49,True,11/27,,True,-6.12
194,4f6b42a52b5211eb85853800255995ba,Doktar Evil,standard,PTON,1,-2.17,True,11/27,,True,0.1
195,6083a6fd2b5211ebad533800255995ba,Doktar Evil,standard,PTON,1,-2.16,True,11/27,2.05,True,29.63
196,65b0ba302b5211eb9bd83800255995ba,Rich,standard,BBY,1,-2.98,True,12/4,2.85,True,-7.05
197,720bdcb52b5211eb809d3800255995ba,SilverSurfie,standard,SPCE,1,-1.04,True,12/18,1.0,True,5.77
198,24f384112b5411ebb7853800255995ba,Nardo9999,standard,SPCE,1,0.1,True,12/04,1.38,True,0.01
199,7347c0432b5e11eb83f43800255995ba,Engine Trades,standard,TWTR,1,-1.45,True,12/04,1.26,True,-11.03
200,43223ecd2b6311ebba933800255995ba,Eddy_Trades,standard,SHOP,1,-3.9,True,11/27,3.35,True,21.03
201,57791e5e2b6511eba9f93800255995ba,SilverSurfie,standard,TWTR,1,-1.11,True,12/18,1.12,True,-12.61
202,f4dc55ff2b6a11eb98653800255995ba,TacoTradez🌮,standard,TSLA,1,-11.3,True,11/27,,True,57.96
203,ffe8caa42b6b11eb96f03800255995ba,JD,standard,AAL,1,-0.17,True,11/27,0.17,True,1314.43
204,58836c642b6d11eb9d2a3800255995ba,TacoTradez🌮,standard,TWTR,1,-0.75,True,12/18,,True,-24.0
205,c9d41f6e2b6e11eb970a3800255995ba,SilverSurfie,standard,BABA,1,-1.47,True,12/18,1.47,True,10.2
206,ae97b2d02d9811ebb14e3800255995ba,SammySnipes,standard,AMD,1,-1.18,True,12/4,,True,242.37
207,ef4b05bd2d9811ebae143800255995ba,SilverSurfie,standard,AMD,1,-0.67,True,12/18,1.14,True,-4.48
208,4e1664e12d9911eb9c2b3800255995ba,SilverSurfie,standard,AMD,1,-1.12,True,12/4,1.14,True,38.39
209,80ffb1942d9911eb96293800255995ba,TacoTradez🌮,standard,TTD,1,-13.1,True,12/4,,True,-79.01
210,8bff48fc2d9911eb94e63800255995ba,TacoTradez🌮,standard,AMD,1,-1.16,True,12/4,,True,29.31
211,95a713742d9911ebbab23800255995ba,Reventing,standard,SPCE,1,-1.15,True,12/4,,True,6.09
212,c235d20d2d9911ebb7bf3800255995ba,TacoTradez🌮,standard,NET,1,-1.75,True,12/4,,True,40.0
213,e168ea4e2d9911eb869f3800255995ba,SilverSurfie,standard,RIOT,1,-0.75,True,12/4,0.72,True,13.33
214,16afe5972d9c11eb91a33800255995ba,Visvim,standard,BABA,1,0.1,True,12/4,2.15,True,0.0
215,21a73ef92d9c11eb80623800255995ba,cMoney💰,standard,TSLA,1,-14.8,True,11/27,,True,0.1
